AIRLINE_CODE,AIRLINE_ID,SOURCE_AIRPORT_CODE,SOURCE_AIRPORT_ID,DEST_AIRPORT_CODE,DEST_AIRPORT_ID,CODESHARE,STOPS,EQUIPMENT
AA,24,BUR,3644,PDX,3720,Y,0,CR7
AA,24,BUR,3644,SEA,3577,Y,0,737
AA,24,EUG,4099,LAX,3484,Y,0,CRJ
AA,24,EUG,4099,PDX,3720,Y,0,DH4
AA,24,FAT,3687,LAX,3484,Y,0,CRJ
AA,24,LAS,3877,LAX,3484,,0,738
AA,24,LAX,3484,EUG,4099,Y,0,CRJ
AA,24,LAX,3484,FAT,3687,Y,0,CRJ
AA,24,LAX,3484,LAS,3877,,0,738
AA,24,LAX,3484,MFR,4101,Y,0,DH4
AA,24,LAX,3484,MMH,7081,Y,0,DH4
AA,24,LAX,3484,MRY,3948,Y,0,CRJ
AA,24,LAX,3484,PDX,3720,Y,0,737
AA,24,LAX,3484,RDM,4103,Y,0,CRJ
AA,24,LAX,3484,RNO,3807,Y,0,CRJ
AA,24,LAX,3484,SAN,3731,Y,0,CRJ CR7
AA,24,LAX,3484,SEA,3577,Y,0,737
AA,24,LAX,3484,SFO,3469,,0,738
AA,24,LAX,3484,SJC,3748,Y,0,CR7 CRJ
AA,24,LAX,3484,SMF,3817,Y,0,CRJ
AA,24,LAX,3484,STS,6992,Y,0,DH4
AA,24,LGB,3582,PDX,3720,Y,0,CR7
AA,24,LGB,3582,SEA,3577,Y,0,CR7
AA,24,MFR,4101,LAX,3484,Y,0,DH4
AA,24,MMH,7081,LAX,3484,Y,0,DH4
AA,24,MRY,3948,LAX,3484,Y,0,CRJ
AA,24,OAK,3453,PDX,3720,Y,0,DH4
AA,24,OAK,3453,SEA,3577,Y,0,737
AA,24,ONT,3734,PDX,3720,Y,0,CR7
AA,24,ONT,3734,SEA,3577,Y,0,737
AA,24,PDX,3720,BUR,3644,Y,0,CR7
AA,24,PDX,3720,LAX,3484,Y,0,737
AA,24,PDX,3720,LGB,3582,Y,0,CR7
AA,24,PDX,3720,OAK,3453,Y,0,DH4
AA,24,PDX,3720,ONT,3734,Y,0,CR7
AA,24,PDX,3720,SAN,3731,Y,0,737
AA,24,PDX,3720,SFO,3469,Y,0,DH4 737
AA,24,PDX,3720,SJC,3748,Y,0,737 DH4
AA,24,PDX,3720,SNA,3867,Y,0,737
AA,24,PSP,3839,SFO,3469,Y,0,737
AA,24,RDM,4103,LAX,3484,Y,0,CRJ
AA,24,RNO,3807,LAX,3484,Y,0,CRJ
AA,24,SAN,3731,LAX,3484,Y,0,CRJ CR7
AA,24,SAN,3731,PDX,3720,Y,0,737
AA,24,SAN,3731,SEA,3577,Y,0,737
AA,24,SAN,3731,STS,6992,Y,0,DH4
AA,24,SEA,3577,BUR,3644,Y,0,737
AA,24,SEA,3577,LAX,3484,Y,0,737
AA,24,SEA,3577,LGB,3582,Y,0,CR7
AA,24,SEA,3577,OAK,3453,Y,0,737
AA,24,SEA,3577,ONT,3734,Y,0,737
AA,24,SEA,3577,SAN,3731,Y,0,737
AA,24,SEA,3577,SFO,3469,Y,0,737
AA,24,SEA,3577,SJC,3748,Y,0,737
AA,24,SEA,3577,SMF,3817,Y,0,737
AA,24,SEA,3577,SNA,3867,Y,0,737
AA,24,SFO,3469,LAX,3484,,0,738
AA,24,SFO,3469,PDX,3720,Y,0,737 DH4
AA,24,SFO,3469,PSP,3839,Y,0,737
AA,24,SFO,3469,SEA,3577,Y,0,737
AA,24,SJC,3748,LAX,3484,Y,0,CRJ CR7
AA,24,SJC,3748,PDX,3720,Y,0,737 DH4
AA,24,SJC,3748,SEA,3577,Y,0,737
AA,24,SMF,3817,LAX,3484,Y,0,CRJ
AA,24,SMF,3817,SEA,3577,Y,0,737
AA,24,SNA,3867,PDX,3720,Y,0,737
AA,24,SNA,3867,SEA,3577,Y,0,737
AA,24,STS,6992,LAX,3484,Y,0,DH4
AA,24,STS,6992,SAN,3731,Y,0,DH4
AS,439,ALW,5719,SEA,3577,Y,0,DH4
AS,439,BLI,3777,LAS,3877,,0,73H
AS,439,BLI,3777,PDX,3720,Y,0,DH4
AS,439,BLI,3777,SEA,3577,Y,0,DH4
AS,439,BUR,3644,PDX,3720,Y,0,CR7
AS,439,BUR,3644,SEA,3577,,0,73H 73G
AS,439,EAT,6916,SEA,3577,Y,0,DH4
AS,439,EUG,4099,PDX,3720,Y,0,DH4
AS,439,EUG,4099,SEA,3577,Y,0,DH4
AS,439,FAT,3687,LAX,3484,Y,0,CRJ
AS,439,FAT,3687,PDX,3720,Y,0,DH4
AS,439,FAT,3687,SAN,3731,Y,0,DH4
AS,439,FAT,3687,SEA,3577,,0,CR7
AS,439,GEG,3467,PDX,3720,Y,0,DH4
AS,439,GEG,3467,SEA,3577,,0,734
AS,439,LAS,3877,BLI,3777,,0,73H
AS,439,LAS,3877,PDX,3720,,0,73G 73H
AS,439,LAS,3877,SEA,3577,,0,73G 73H 739 73J
AS,439,LAX,3484,FAT,3687,Y,0,CRJ
AS,439,LAX,3484,MFR,4101,Y,0,DH4
AS,439,LAX,3484,MMH,7081,Y,0,DH4
AS,439,LAX,3484,MRY,3948,Y,0,CRJ
AS,439,LAX,3484,PDX,3720,,0,73J 73H 734 739 73G
AS,439,LAX,3484,RNO,3807,Y,0,CRJ
AS,439,LAX,3484,SAN,3731,Y,0,CRJ CR7
AS,439,LAX,3484,SEA,3577,,0,73H 734 739 73J 73G
AS,439,LAX,3484,SFO,3469,Y,0,738
AS,439,LAX,3484,SMF,3817,Y,0,CRJ
AS,439,LAX,3484,STS,6992,Y,0,DH4
AS,439,LGB,3582,PDX,3720,Y,0,CR7
AS,439,LGB,3582,SEA,3577,Y,0,CR7
AS,439,LWS,3945,PUW,3944,Y,0,DH4
AS,439,LWS,3945,SEA,3577,Y,0,DH4
AS,439,MFR,4101,LAX,3484,Y,0,DH4
AS,439,MFR,4101,PDX,3720,Y,0,DH4
AS,439,MFR,4101,SEA,3577,Y,0,DH4
AS,439,MMH,7081,LAX,3484,Y,0,DH4
AS,439,MRY,3948,LAX,3484,Y,0,CRJ
AS,439,MRY,3948,SAN,3731,Y,0,DH4
AS,439,OAK,3453,PDX,3720,Y,0,DH4
AS,439,OAK,3453,SEA,3577,,0,73G 73H 734
AS,439,ONT,3734,PDX,3720,Y,0,CR7
AS,439,ONT,3734,SEA,3577,,0,734 73H
AS,439,PDX,3720,BLI,3777,Y,0,DH4
AS,439,PDX,3720,BUR,3644,Y,0,CR7
AS,439,PDX,3720,EUG,4099,Y,0,DH4
AS,439,PDX,3720,FAT,3687,Y,0,DH4
AS,439,PDX,3720,GEG,3467,Y,0,DH4
AS,439,PDX,3720,LAS,3877,,0,73H 73G
AS,439,PDX,3720,LAX,3484,,0,734 73H 73G 739 73J
AS,439,PDX,3720,LGB,3582,Y,0,CR7
AS,439,PDX,3720,MFR,4101,Y,0,DH4
AS,439,PDX,3720,OAK,3453,Y,0,DH4
AS,439,PDX,3720,ONT,3734,Y,0,CR7
AS,439,PDX,3720,PSC,6133,Y,0,DH4
AS,439,PDX,3720,PSP,3839,,0,734 73J
AS,439,PDX,3720,RDM,4103,Y,0,DH4
AS,439,PDX,3720,RNO,3807,Y,0,DH4
AS,439,PDX,3720,SAN,3731,,0,73G 73H 734 73J 739
AS,439,PDX,3720,SBA,3949,Y,0,CR7
AS,439,PDX,3720,SEA,3577,Y,0,DH4 CR7
AS,439,PDX,3720,SFO,3469,,0,734 73G
AS,439,PDX,3720,SJC,3748,,0,734 73G 73H
AS,439,PDX,3720,SMF,3817,Y,0,DH4
AS,439,PDX,3720,SNA,3867,,0,73G
AS,439,PDX,3720,STS,6992,Y,0,DH4
AS,439,PSC,6133,PDX,3720,Y,0,DH4
AS,439,PSC,6133,SEA,3577,Y,0,DH4
AS,439,PSP,3839,PDX,3720,,0,73G
AS,439,PSP,3839,SEA,3577,,0,73H 734 73J
AS,439,PSP,3839,SFO,3469,,0,734
AS,439,PSP,3839,SMF,3817,Y,0,DH4
AS,439,PUW,3944,LWS,3945,Y,0,DH4
AS,439,PUW,3944,SEA,3577,Y,0,DH4
AS,439,RDM,4103,PDX,3720,Y,0,DH4
AS,439,RDM,4103,SEA,3577,Y,0,DH4
AS,439,RNO,3807,LAX,3484,Y,0,CRJ
AS,439,RNO,3807,PDX,3720,Y,0,DH4
AS,439,RNO,3807,SEA,3577,Y,0,DH4
AS,439,RNO,3807,SJC,3748,Y,0,DH4
AS,439,SAN,3731,FAT,3687,Y,0,DH4
AS,439,SAN,3731,LAX,3484,Y,0,CRJ CR7
AS,439,SAN,3731,MRY,3948,Y,0,DH4
AS,439,SAN,3731,PDX,3720,,0,73J 73H 734 73G
AS,439,SAN,3731,SEA,3577,,0,73J 73H 73G 734 739
AS,439,SAN,3731,STS,6992,Y,0,DH4
AS,439,SBA,3949,PDX,3720,Y,0,CR7
AS,439,SBA,3949,SEA,3577,Y,0,CR7
AS,439,SEA,3577,ALW,5719,Y,0,DH4
AS,439,SEA,3577,BLI,3777,Y,0,DH4
AS,439,SEA,3577,BUR,3644,,0,73H 73G
AS,439,SEA,3577,EAT,6916,Y,0,DH4
AS,439,SEA,3577,EUG,4099,Y,0,DH4
AS,439,SEA,3577,FAT,3687,,0,CR7
AS,439,SEA,3577,GEG,3467,,0,734
AS,439,SEA,3577,LAS,3877,,0,73H 739 73G 73J
AS,439,SEA,3577,LAX,3484,,0,73J 739 73G 734 73H
AS,439,SEA,3577,LGB,3582,Y,0,CR7
AS,439,SEA,3577,LWS,3945,Y,0,DH4
AS,439,SEA,3577,MFR,4101,Y,0,DH4
AS,439,SEA,3577,OAK,3453,,0,73H 73G 734
AS,439,SEA,3577,ONT,3734,,0,734 73H
AS,439,SEA,3577,PDX,3720,Y,0,DH4 CR7
AS,439,SEA,3577,PSC,6133,Y,0,DH4
AS,439,SEA,3577,PSP,3839,,0,73G 73H
AS,439,SEA,3577,PUW,3944,Y,0,DH4
AS,439,SEA,3577,RDM,4103,Y,0,DH4
AS,439,SEA,3577,RNO,3807,Y,0,DH4
AS,439,SEA,3577,SAN,3731,,0,73H 73J 734 739 73G
AS,439,SEA,3577,SBA,3949,Y,0,CR7
AS,439,SEA,3577,SFO,3469,,0,73J 734 73G 73H 739
AS,439,SEA,3577,SJC,3748,,0,734 73H 73J 739
AS,439,SEA,3577,SMF,3817,,0,73H
AS,439,SEA,3577,SNA,3867,,0,73G 73H
AS,439,SEA,3577,STS,6992,Y,0,DH4
AS,439,SEA,3577,YKM,5779,Y,0,DH4
AS,439,SFO,3469,LAX,3484,Y,0,738
AS,439,SFO,3469,PDX,3720,,0,734 73H 73G
AS,439,SFO,3469,PSP,3839,,0,734
AS,439,SFO,3469,SEA,3577,,0,73H 734 73G 73J 739
AS,439,SJC,3748,LAX,3484,Y,0,CRJ
AS,439,SJC,3748,PDX,3720,,0,73H 734 73G
AS,439,SJC,3748,RNO,3807,Y,0,DH4
AS,439,SJC,3748,SEA,3577,,0,73H 739 734 73J
AS,439,SMF,3817,LAX,3484,Y,0,CRJ
AS,439,SMF,3817,PDX,3720,Y,0,DH4
AS,439,SMF,3817,PSP,3839,Y,0,DH4
AS,439,SMF,3817,SEA,3577,,0,73H
AS,439,SNA,3867,PDX,3720,,0,73G 73H
AS,439,SNA,3867,SEA,3577,,0,73G 73H
AS,439,STS,6992,LAX,3484,Y,0,DH4
AS,439,STS,6992,PDX,3720,Y,0,DH4
AS,439,STS,6992,SAN,3731,Y,0,DH4
AS,439,STS,6992,SEA,3577,Y,0,DH4
AS,439,YKM,5779,SEA,3577,Y,0,DH4
B6,3029,LAS,3877,LGB,3582,,0,320
B6,3029,LGB,3582,LAS,3877,,0,320
B6,3029,LGB,3582,OAK,3453,,0,320
B6,3029,LGB,3582,PDX,3720,,0,320
B6,3029,LGB,3582,SEA,3577,,0,320
B6,3029,LGB,3582,SFO,3469,,0,320
B6,3029,LGB,3582,SMF,3817,,0,320
B6,3029,OAK,3453,LGB,3582,,0,320
B6,3029,PDX,3720,LGB,3582,,0,320
B6,3029,SEA,3577,LGB,3582,,0,320
B6,3029,SFO,3469,LGB,3582,,0,320
B6,3029,SMF,3817,LGB,3582,,0,320
DL,2009,GEG,3467,LAX,3484,Y,0,CR9
DL,2009,LAS,3877,LAX,3484,,0,319
DL,2009,LAS,3877,SEA,3577,Y,0,CR9
DL,2009,LAX,3484,GEG,3467,Y,0,CR9
DL,2009,LAX,3484,LAS,3877,,0,319
DL,2009,LAX,3484,OAK,3453,Y,0,CR7
DL,2009,LAX,3484,PDX,3720,Y,0,CR7 CR9
DL,2009,LAX,3484,SAN,3731,Y,0,CR9 CR7
DL,2009,LAX,3484,SEA,3577,,0,73H
DL,2009,LAX,3484,SFO,3469,Y,0,E75
DL,2009,LAX,3484,SJC,3748,Y,0,CR9 CR7
DL,2009,LAX,3484,SMF,3817,Y,0,CR7 CR9
DL,2009,OAK,3453,LAX,3484,Y,0,CR7
DL,2009,PDX,3720,LAX,3484,Y,0,CR7 CR9
DL,2009,PSP,3839,SFO,3469,Y,0,734
DL,2009,SAN,3731,LAX,3484,Y,0,CR7 CR9
DL,2009,SAN,3731,SEA,3577,Y,0,73J 73H 734 739 73G
DL,2009,SEA,3577,LAS,3877,Y,0,CR9
DL,2009,SEA,3577,LAX,3484,,0,73H
DL,2009,SEA,3577,SAN,3731,Y,0,73H 73J 734 739 73G
DL,2009,SEA,3577,SFO,3469,Y,0,E75 734
DL,2009,SFO,3469,LAX,3484,Y,0,E75
DL,2009,SFO,3469,PSP,3839,Y,0,734
DL,2009,SFO,3469,SEA,3577,Y,0,E75 734
DL,2009,SJC,3748,LAX,3484,Y,0,CR9 CR7
DL,2009,SMF,3817,LAX,3484,Y,0,CR7 CR9
DL,2009,SMF,3817,SEA,3577,Y,0,73H
FL,1316,BUR,3644,LAS,3877,Y,0,73W
FL,1316,LAS,3877,BUR,3644,Y,0,73W
FL,1316,LAS,3877,LAX,3484,Y,0,73W
FL,1316,LAS,3877,OAK,3453,Y,0,73W
FL,1316,LAS,3877,RNO,3807,Y,0,73W
FL,1316,LAS,3877,SAN,3731,Y,0,73W
FL,1316,LAS,3877,SEA,3577,Y,0,73C
FL,1316,LAS,3877,SMF,3817,Y,0,73C 73H
FL,1316,LAS,3877,SNA,3867,,0,73G
FL,1316,LAX,3484,LAS,3877,Y,0,73W
FL,1316,LAX,3484,OAK,3453,,0,73W
FL,1316,LAX,3484,RNO,3807,Y,0,73W
FL,1316,OAK,3453,LAS,3877,Y,0,73C 73W 73H
FL,1316,OAK,3453,LAX,3484,Y,0,73W 73C
FL,1316,OAK,3453,SNA,3867,Y,0,73W
FL,1316,ONT,3734,LAS,3877,Y,0,73H 73W
FL,1316,PDX,3720,OAK,3453,Y,0,73C 73W
FL,1316,SAN,3731,LAS,3877,Y,0,73W 738
FL,1316,SAN,3731,RNO,3807,Y,0,73W
FL,1316,SAN,3731,SJC,3748,Y,0,73W
FL,1316,SEA,3577,LAS,3877,Y,0,73W
FL,1316,SEA,3577,OAK,3453,Y,0,73W
FL,1316,SEA,3577,SAN,3731,Y,0,73C
FL,1316,SEA,3577,SMF,3817,Y,0,73W
FL,1316,SJC,3748,LAS,3877,Y,0,73C 73W
FL,1316,SJC,3748,LAX,3484,Y,0,73W
FL,1316,SJC,3748,SAN,3731,Y,0,73W
FL,1316,SMF,3817,LAS,3877,Y,0,73W 73C
FL,1316,SMF,3817,LAX,3484,Y,0,73W
FL,1316,SMF,3817,SAN,3731,Y,0,73W
FL,1316,SMF,3817,SEA,3577,Y,0,73W
FL,1316,SMF,3817,SNA,3867,Y,0,73W
FL,1316,SNA,3867,LAS,3877,,0,73G
FL,1316,SNA,3867,OAK,3453,Y,0,73W
FL,1316,SNA,3867,SFO,3469,Y,0,73W
G4,35,BLI,3777,LAS,3877,,0,M80 757
G4,35,BLI,3777,LAX,3484,,0,M80
G4,35,BLI,3777,OAK,3453,,0,M80
G4,35,BLI,3777,PSP,3839,,0,M80
G4,35,BLI,3777,SAN,3731,,0,M80
G4,35,EUG,4099,LAS,3877,,0,M80
G4,35,EUG,4099,LAX,3484,,0,M80
G4,35,EUG,4099,OAK,3453,,0,M80
G4,35,FAT,3687,LAS,3877,,0,M80
G4,35,LAS,3877,BLI,3777,,0,757 M80
G4,35,LAS,3877,EUG,4099,,0,M80
